Anathemancer, ARB
Nightmare Void, IVG
Nivix Aerie of the Firemind, IVG
NivMizzet the Firemind, IVG
Ogre Savant, IVG
Overwhelming Intellect, IVG
Plagued Rusalka, IVG
Prophetic Bolt, IVG
Putrefy, IVG
Putrid Leech, IVG
Pyromatics, IVG
Quicksilver Dagger, IVG
Ravenous Rats, IVG
Reassembling Skeleton, IVG
Reminisce, IVG
Sadistic Hypnotist, IVG
Shambling Shell, IVG
Shrewd Hatchling, IVG
SphinxBone Wand, IVG
Steamcore Weird, IVG
Stingerfling Spider, IVG
Stinkweed Imp, IVG
Street Spasm, IVG
Svogthos the Restless Tomb, IVG
Swamp, IVG
Thunderheads, IVG
Train of Thought, IVG
Tranquil Thicket, IVG
Twilights Call, IVG
Vacuumelt, IVG
Vigor Mortis, IVG
Wee Dragonauts, IVG
Yoke of the Damned, IVG
thersnipe, JVC
Air Elemental, JVC
Ancestral Vision, JVC
Bottle Gnomes, JVC
Brine Elemental, JVC
Chandra Nalaar, JVC
Chartooth Cougar, JVC
Condescend, JVC
Cone of Flame, JVC
Counterspell, JVC
Daze, JVC
Demonfire, JVC
Errant Ephemeron, JVC
Fact or Fiction, JVC
Fathom Seer, JVC
Fireball, JVC
Fireblast, JVC
Firebolt, JVC
Fireslinger, JVC
Flame Javelin, JVC
Flamekin Brawler, JVC
Flametongue Kavu, JVC
Flamewave Invoker, JVC
Fledgling Mawcor, JVC
Furnace Whelp, JVC
Guile, JVC
Gush, JVC
Hostility, JVC
Incinerate, JVC
Ingot Chewer, JVC
InnerFlame Acolyte, JVC
Island, JVC
Jace Beleren, JVC
Keldon Megaliths, JVC
Magma Jet, JVC
ManoWar, JVC
Martyr of Frost, JVC
Mind Stone, JVC
Mountain, JVC
Mulldrifter, JVC
Ophidian, JVC
Oxidda Golem, JVC
Pyre Charger, JVC
Quicksilver Dragon, JVC
Rakdos Pit Dragon, JVC
Repulse, JVC
Riftwing Cloudskate, JVC
Seal of Fire, JVC
Slith Firewalker, JVC
Soulbright Flamekin, JVC
Spire Golem, JVC
Terrain Generator, JVC
Voidmage Apprentice, JVC
Wall of Deceit, JVC
Waterspout Djinn, JVC
Willbender, JVC
Acidic Slime, JVV
Aeon Chronicler, JVV
ther Adept, JVV
ther Figment, JVV
Agoraphobia, JVV
Archaeomancer, JVV
Body Double, JVV
Chronomaton, JVV
Claustrophobia, JVV
Consume Strength, JVV
Control Magic, JVV
Corpse Traders, JVV
Crosstown Courier, JVV
DeathHood Cobra, JVV
Dread Statuary, JVV
Dream Stalker, JVV
Drooling Groodion, JVV
Errant Ephemeron, JVV
Festerhide Boar, JVV
Forest, JVV
Future Sight, JVV
Gatecreeper Vine, JVV
Golgari Guildgate, JVV
Griptide, JVV
Grisly Spectacle, JVV
Halimar Depths, JVV
Highway Robber, JVV
Hypnotic Cloud, JVV
Into the Roil, JVV
Island, JVV
Jace Architect of Thought, JVV
Jaces Ingenuity, JVV
Jaces Mindseeker, JVV
Jaces Phantasm, JVV
Krovikan Mist, JVV
Last Kiss, JVV
Leyline Phantom, JVV
Marsh Casualties, JVV
Memory Lapse, JVV
Merfolk Wayfinder, JVV
Mold Shambler, JVV
Nekrataal, JVV
Nights Whisper, JVV
Ohran Viper, JVV
OranRief Recluse, JVV
Phantasmal Bear, JVV
Phantasmal Dragon, JVV
Prohibit, JVV
Pulse Tracker, JVV
Putrid Leech, JVV
Ray of Command, JVV
Reaper of the Wilds, JVV
Remand, JVV
Riftwing Cloudskate, JVV
River Boa, JVV
Rogues Passage, JVV
Sadistic Augermage, JVV
Sea Gate Oracle, JVV
Shadow Alley Denizen, JVV
Slate Street Ruffian, JVV
Spawnwrithe, JVV
Spelltwine, JVV
Stab Wound, JVV
Stealer of Secrets, JVV
Stonefare Crocodile, JVV
Summoners Bane, JVV
Swamp, JVV
Tainted Wood, JVV
Tavern Swindler, JVV
Thought Scour, JVV
Tragic Slip, JVV
Treasured Find, JVV
Underworld Connections, JVV
Vinelasher Kudzu, JVV
Vraska the Unseen, JVV
Wight of Precinct Six, JVV
Alaborn Cavalier, KVD
Armillary Sphere, KVD
Benalish Lancer, KVD
Bloodmark Mentor, KVD
Bogardan Hellkite, KVD
Bogardan Rager, KVD
Breath of Darigaaz, KVD
Captive Flame, KVD
Caravan Escort, KVD
Cinder Wall, KVD
Claws of Valakut, KVD
Cone of Flame, KVD
Dragon Fodder, KVD
Dragon Whelp, KVD
Dragons Claw, KVD
Dragonspeaker Shaman, KVD
Edge of Autumn, KVD
Fiery Fall, KVD
FireBelly Changeling, KVD
Forest, KVD
Ghostfire, KVD
Grasslands, KVD
Griffin Guide, KVD
Harms Way, KVD
Henge Guardian, KVD
Heroes Reunion, KVD
Jaws of Stone, KVD
Juniper Order Ranger, KVD
Kabira Vindicator, KVD
Kilnmouth Dragon, KVD
Kinsbaile Cavalier, KVD
Knight Exemplar, KVD
Knight of Cliffhaven, KVD
Knight of Meadowgrain, KVD
Knight of the Reliquary, KVD
Knight of the White Orchid, KVD
Knotvine Paladin, KVD
Leonin Skyhunter, KVD
Lionheart Maverick, KVD
Loxodon Warhammer, KVD
Mighty Leap, KVD
Mordant Dragon, KVD
Mountain, KVD
Mudbutton Torchrunner, KVD
Oblivion Ring, KVD
Paladin of Prahv, KVD
Plains, KVD
Plover Knights, KVD
Punishing Fire, KVD
Reciprocate, KVD
Reprisal, KVD
Seething Song, KVD
Seismic Strike, KVD
Sejiri Steppe, KVD
Selesnya Sanctuary, KVD
Shivan Hellkite, KVD
Shivs Embrace, KVD
Sigil Blessing, KVD
Silver Knight, KVD
Skirk Prospector, KVD
Skyhunter Patrol, KVD
Spidersilk Armor, KVD
Spitting Earth, KVD
Steward of Valeron, KVD
Temporary Insanity, KVD
Test of Faith, KVD
Thunder Dragon, KVD
Treetop Village, KVD
Voracious Dragon, KVD
White Knight, KVD
WiltLeaf Cavaliers, KVD
Zhalfirin Commander, KVD
Allied Strategies, PVC
Armadillo Cloak, PVC
Bone Shredder, PVC
Carrion Feeder, PVC
Charging Troll, PVC
Coalition Relic, PVC
Darigaaz the Igniter, PVC
Darigaazs Charm, PVC
Dark Ritual, PVC
Elfhame Palace, PVC
Evasive Action, PVC
Exotic Curse, PVC
Fertile Ground, PVC
Forest, PVC
Gerrard Capashen, PVC
Gerrards Command, PVC
Harrow, PVC
Hideous End, PVC
Hornet Cannon, PVC
Island, PVC
Lightning Greaves, PVC
Living Death, PVC
Mountain, PVC
Narrow Escape, PVC
Nomadic Elf, PVC
Order of Yawgmoth, PVC
Phyrexian Arena, PVC
Phyrexian Battleflies, PVC
Phyrexian Broodlings, PVC
Phyrexian Colossus, PVC
Phyrexian Debaser, PVC
Phyrexian Defiler, PVC
Phyrexian Denouncer, PVC
Phyrexian Gargantua, PVC
Phyrexian Ghoul, PVC
Phyrexian Hulk, PVC
Phyrexian Negator, PVC
Phyrexian Plaguelord, PVC
Phyrexian Processor, PVC
Phyrexian Totem, PVC
Phyrexian Vault, PVC
Plains, PVC
Power Armor, PVC
Priest of Gix, PVC
Puppet Strings, PVC
Quirion Elves, PVC
Rith the Awakener, PVC
Riths Charm, PVC
Sanguine Guard, PVC
Shivan Oasis, PVC
Slay, PVC
Sunscape Battlemage, PVC
Swamp, PVC
Tendrils of Corruption, PVC
Terramorphic Expanse, PVC
Thornscape Apprentice, PVC
Thornscape Battlemage, PVC
Thunderscape Battlemage, PVC
Treva the Renewer, PVC
Trevas Charm, PVC
Tribal Flames, PVC
Urzas Rage, PVC
Verduran Emissary, PVC
Voltaic Key, PVC
Whispersilk Cloak, PVC
Worn Powerstone, PVC
Yavimaya Elder, PVC
Absorb Vis, SVT
Akoum Refuge, SVT
Ancient Craving, SVT
Ashmouth Hound, SVT
Blazing Salvo, SVT
Blightning, SVT
Bloodrage Vampire, SVT
Breaking Point, SVT
Browbeat, SVT
Bump in the Night, SVT
Butcher of Malakir, SVT
Child of Night, SVT
Coal Stoker, SVT
Corpse Connoisseur, SVT
Death Grasp, SVT
Decompose, SVT
Devils Play, SVT
Doomed Traveler, SVT
Duskhunter Bat, SVT
Evolving Wilds, SVT
Faithless Looting, SVT
Field of Souls, SVT
Fiend Hunter, SVT
Flame Javelin, SVT
Flame Slash, SVT
Gang of Devils, SVT
Gatekeeper of Malakir, SVT
Geistflame, SVT
Goblin Arsonist, SVT
Hellrider, SVT
Hellspark Elemental, SVT
Lavaborn Muse, SVT
Lingering Souls, SVT
Mad Prophet, SVT
Mark of the Vampire, SVT
Mausoleum Guard, SVT
Mesmeric Fiend, SVT
Mortify, SVT
Mountain, SVT
Phantom General, SVT
Plains, SVT
Pyroclasm, SVT
Rakdos Carnarium, SVT
Reassembling Skeleton, SVT
Recoup, SVT
Revenant Patriarch, SVT
Scorched Rusalka, SVT
Scourge Devil, SVT
Sengir Vampire, SVT
Shambling Remains, SVT
Skirsdag Cultist, SVT
Sorin Lord of Innistrad, SVT
Sorins Thirst, SVT
Spectral Procession, SVT
Strangling Soot, SVT
Sulfuric Vortex, SVT
Swamp, SVT
Tainted Field, SVT
Terminate, SVT
Tibalt the FiendBlooded, SVT
Torrent of Souls, SVT
Twilight Drover, SVT
Unmake, SVT
Urge to Feed, SVT
Vampire Lacerator, SVT
Vampire Nighthawk, SVT
Vampire Outcasts, SVT
Vampires Bite, SVT
Vithian Stinger, SVT
Wall of Omens, SVT
Zealous Persecution, SVT
Act of Treason, SVC
Aquamorph Entity, SVC
Arc Trail, SVC
Arcanis the Omnipotent, SVC
Arrow Volley Trap, SVC
Banefire, SVC
Beetleback Chief, SVC
Bone Splinters, SVC
Coral Trickster, SVC
Dauntless Onslaught, SVC
Dregscape Zombie, SVC
Echo Tracer, SVC
Evolving Wilds, SVC
Faerie Impostor, SVC
Faerie Invaders, SVC
Fathom Seer, SVC
Fiery Fall, SVC
FlameKin Zealot, SVC
Fleeting Distraction, SVC
Fleshbag Marauder, SVC
Frenzied Goblin, SVC
Fury of the Horde, SVC
Ghitu Encampment, SVC
Goblin Bombardment, SVC
Goblin Deathraiders, SVC
Goblin Warchief, SVC
Hellraiser Goblin, SVC
Hells Thunder, SVC
Hold the Line, SVC
Hussar Patrol, SVC
Impulse, SVC
Infantry Veteran, SVC
Inferno Trap, SVC
Island, SVC
Jeskai Elder, SVC
Kathari Bomber, SVC
Kor Hookmaster, SVC
Krenko Mob Boss, SVC
Krenkos Command, SVC
Leonin Snarecaster, SVC
Lightning Angel, SVC
Lightning Helix, SVC
Lone Missionary, SVC
Mana Leak, SVC
Mardu HeartPiercer, SVC
Master Decoy, SVC
Mountain, SVC
Mystic Monastery, SVC
Nomad Outpost, SVC
Ogre Battledriver, SVC
Oni of Wild Places, SVC
Orcish Cannonade, SVC
Plains, SVC
Reckless Abandon, SVC
Repeal, SVC
Scourge Devil, SVC
Shambling Remains, SVC
Shock, SVC
Sparkmage Apprentice, SVC
Sphinx of Uthuun, SVC
Stave Off, SVC
Steam Augury, SVC
Stonecloaker, SVC
Swamp, SVC
Swift Justice, SVC
Terramorphic Expanse, SVC
Thousand Winds, SVC
Traumatic Visions, SVC
Whiplash Trap, SVC
Willbender, SVC
Zurgo Helmsmasher, SVC
ther Membrane, VVK
Angelic Shield, VVK
Anger, VVK
Armillary Sphere, VVK
Augury Owl, VVK
Azorius Chancery, VVK
Bloodfire Colossus, VVK
Bloodfire Kavu, VVK
Cache Raiders, VVK
Chartooth Cougar, VVK
Clone, VVK
Coral Fighters, VVK
Cosis Ravager, VVK
Cryptic Annelid, VVK
Downhill Charge, VVK
Earth Servant, VVK
Fiery Hellhound, VVK
Flood Plain, VVK
Galepowder Mage, VVK
Geyser Glider, VVK
Greater Stone Spirit, VVK
Island, VVK
Jaws of Stone, VVK
Jedits Dragoons, VVK
Journeyers Kite, VVK
Kor Cartographer, VVK
Koth of the Hammer, VVK
Lithophage, VVK
Minamo Sightbender, VVK
Mistmeadow Witch, VVK
Mountain, VVK
Neurok Invisimancer, VVK
New Benalia, VVK
Oblivion Ring, VVK
Overrule, VVK
Path to Exile, VVK
Pilgrims Eye, VVK
Plains, VVK
Plated Geopede, VVK
Preordain, VVK
Primal Plasma, VVK
Pygmy Pyrosaur, VVK
Revoke Existence, VVK
Safe Passage, VVK
Sawtooth Loon, VVK
Scroll Thief, VVK
Searing Blaze, VVK
Seismic Strike, VVK
Sejiri Refuge, VVK
Sigil of Sleep, VVK
Sky Spirit, VVK
Slith Strider, VVK
Soaring Seacliff, VVK
Sphinx of Uthuun, VVK
Spire Barrage, VVK
Steel of the Godhead, VVK
Stone Giant, VVK
Sunblast Angel, VVK
Torchling, VVK
Vanish into Memory, VVK
Venser the Sojourner, VVK
Volley of Boulders, VVK
Vulshok Battlegear, VVK
Vulshok Berserker, VVK
Vulshok Morningstar, VVK
Vulshok Sorcerer, VVK
Wall of Denial, VVK
Wayfarers Bauble, VVK
Whitemane Lion, VVK
Windreaver, VVK
Affa Guard Hound, ZVE
Akoum Refuge, ZVE
Artisan of Kozilek, ZVE
Avenger of Zendikar, ZVE
Beastbreaker of Bala Ged, ZVE
Bloodrite Invoker, ZVE
Bloodthrone Vampire, ZVE
Butcher of Malakir, ZVE
Cadaver Imp, ZVE
Caravan Escort, ZVE
Consume the Meek, ZVE
Corpsehatch, ZVE
Daggerback Basilisk, ZVE
Dominator Drone, ZVE
Eldrazi Temple, ZVE
Emrakuls Hatcher, ZVE
Evolving Wilds, ZVE
Explorers Scope, ZVE
Forerunner of Slaughter, ZVE
Forest, ZVE
Forked Bolt, ZVE
Frontier Guide, ZVE
Graypelt Hunter, ZVE
Graypelt Refuge, ZVE
Grazing Gladehart, ZVE
Groundswell, ZVE
Harrow, ZVE
Heartstabber Mosquito, ZVE
Hellion Eruption, ZVE
Induce Despair, ZVE
It That Betrays, ZVE
Joraga Bard, ZVE
Kabira Vindicator, ZVE
Khalni Heart Expedition, ZVE
Knight of Cliffhaven, ZVE
Magmaw, ZVE
Makindi Griffin, ZVE
Marsh Casualties, ZVE
Mind Stone, ZVE
Mountain, ZVE
Oblivion Sower, ZVE
Ondu Giant, ZVE
Oust, ZVE
Pawn of Ulamog, ZVE
Plains, ZVE
Primal Command, ZVE
Read the Bones, ZVE
Repel the Darkness, ZVE
Retreat to Kazandu, ZVE
Rocky Tar Pit, ZVE
Runed Servitor, ZVE
Scute Mob, ZVE
Seers Sundial, ZVE
Sheer Drop, ZVE
Smother, ZVE
Stirring Wildwood, ZVE
Stonework Puma, ZVE
Swamp, ZVE
Tajuru Archer, ZVE
Territorial Baloth, ZVE
Torch Slinger, ZVE
Turntimber Basilisk, ZVE
Turntimber Grove, ZVE
Ulamogs Crusher, ZVE
Vampire Nighthawk, ZVE
Veteran Warleader, ZVE
Wildheart Invoker, ZVE
Abyssal Specter, 8E
Air Elemental, 8E
Aladdins Ring, 8E
Ambitions Cost, 8E
Anaba Shaman, 8E
Angel of Mercy, 8E
Angelic Page, 8E
Archivist, 8E
Ardent Militia, 8E
Avatar of Hope, 8E
Aven Cloudchaser, 8E
Aven Fisher, 8E
Aven Flock, 8E
Balance of Power, 8E
Balduvian Barbarians, 8E
Beast of Burden, 8E
Birds of Paradise, 8E
Blanchwood Armor, 8E
Blaze, 8E
Blessed Reversal, 8E
Blinding Angel, 8E
Blood Moon, 8E
Bloodshot Cyclops, 8E
Bog Imp, 8E
Bog Wraith, 8E
Boil, 8E
Boomerang, 8E
Brass Herald, 8E
Bribery, 8E
Call of the Wild, 8E
Canopy Spider, 8E
Canyon Wildcat, 8E
Carrion Wall, 8E
Catalog, 8E
Chastise, 8E
Choke, 8E
Cinder Wall, 8E
Circle of Protection Black, 8E
Circle of Protection Blue, 8E
Circle of Protection Green, 8E
Circle of Protection Red, 8E
Circle of Protection White, 8E
City of Brass, 8E
Coastal Hornclaw, 8E
Coastal Piracy, 8E
Coastal Tower, 8E
Coat of Arms, 8E
Coercion, 8E
Collective Unconscious, 8E
Concentrate, 8E
Confiscate, 8E
Coral Eel, 8E
Cowardice, 8E
Craw Wurm, 8E
Creeping Mold, 8E
Crossbow Infantry, 8E
Crystal Rod, 8E
Curiosity, 8E
Daring Apprentice, 8E
Dark Banishing, 8E
Death Pit Offering, 8E
Death Pits of Rath, 8E
Deathgazer, 8E
Deepwood Ghoul, 8E
Defense Grid, 8E
Deflection, 8E
Dehydration, 8E
Demolish, 8E
Demystify, 8E
Diabolic Tutor, 8E
Dingus Egg, 8E
Disrupting Scepter, 8E
Distorting Lens, 8E
Diving Griffin, 8E
Drudge Skeletons, 8E
Dusk Imp, 8E
Dwarven Demolition Team, 8E
Eastern Paladin, 8E
Elfhame Palace, 8E
Elite Archers, 8E
Elite Javelineer, 8E
Elvish Champion, 8E
Elvish Lyrist, 8E
Elvish Pioneer, 8E
Elvish Piper, 8E
Elvish Scrapper, 8E
Emperor Crocodile, 8E
Enrage, 8E
Ensnaring Bridge, 8E
Evacuation, 8E
Execute, 8E
Fallen Angel, 8E
Fear, 8E
Fecundity, 8E
Fertile Ground, 8E
Fighting Drake, 8E
Flash Counter, 8E
Flashfires, 8E
Fleeting Image, 8E
Flight, 8E
Flying Carpet, 8E
Fodder Cannon, 8E
Foratog, 8E
Forest, 8E
Fugitive Wizard, 8E
Fungusaur, 8E
Furnace of Rath, 8E
Fyndhorn Elder, 8E
Gaeas Herald, 8E
Giant Badger, 8E
Giant Cockroach, 8E
Giant Growth, 8E
Giant Spider, 8E
Glorious Anthem, 8E
Glory Seeker, 8E
Gluttonous Zombie, 8E
Goblin Chariot, 8E
Goblin Glider, 8E
Goblin King, 8E
Goblin Raider, 8E
Grave Pact, 8E
Gravedigger, 8E
Grizzly Bears, 8E
Guerrilla Tactics, 8E
Hammer of Bogardan, 8E
Healing Salve, 8E
Hibernation, 8E
Hill Giant, 8E
Holy Day, 8E
Holy Strength, 8E
Honor Guard, 8E
Horned Troll, 8E
Horned Turtle, 8E
Howling Mine, 8E
Hulking Cyclops, 8E
Hunted Wumpus, 8E
Index, 8E
Inferno, 8E
Inspiration, 8E
Intrepid Hero, 8E
Intruder Alarm, 8E
Invisibility, 8E
Iron Star, 8E
Island, 8E
Ivory Cup, 8E
Ivory Mask, 8E
Jayemdae Tome, 8E
Karma, 8E
Larceny, 8E
Lava Axe, 8E
Lava Hounds, 8E
Lesser Gargadon, 8E
Lhurgoyf, 8E
Lightning Blast, 8E
Lightning Elemental, 8E
Living Terrain, 8E
Llanowar Behemoth, 8E
Lone Wolf, 8E
Looming Shade, 8E
Lord of the Undead, 8E
Lure, 8E
Maggot Carrier, 8E
Mahamoti Djinn, 8E
Mana Clash, 8E
Mana Leak, 8E
Maro, 8E
Master Decoy, 8E
Master Healer, 8E
Megrim, 8E
Merchant of Secrets, 8E
Merchant Scroll, 8E
Might of Oaks, 8E
Millstone, 8E
Mind Bend, 8E
Mind Rot, 8E
Mind Slash, 8E
Mind Sludge, 8E
Mogg Sentry, 8E
Monstrous Growth, 8E
Moss Monster, 8E
Mountain, 8E
Murderous Betrayal, 8E
Nantuko Disciple, 8E
Natural Affinity, 8E
Naturalize, 8E
Nausea, 8E
Nekrataal, 8E
Nightmare, 8E
Noble Purpose, 8E
Norwood Ranger, 8E
Obliterate, 8E
Ogre Taskmaster, 8E
Okk, 8E
Oracles Attendants, 8E
Orcish Artillery, 8E
Orcish Spy, 8E
Pacifism, 8E
Panic Attack, 8E
Patagia Golem, 8E
Peach Garden Oath, 8E
Persecute, 8E
Phantom Warrior, 8E
Phyrexian Arena, 8E
Phyrexian Colossus, 8E
Phyrexian Hulk, 8E
Phyrexian Plaguelord, 8E
Plague Beetle, 8E
Plague Wind, 8E
Plains, 8E
Planar Portal, 8E
Plow Under, 8E
Primeval Force, 8E
Primeval Shambler, 8E
Puppeteer, 8E
Pyroclasm, 8E
Pyrotechnics, 8E
Raging Goblin, 8E
Rain of Blades, 8E
Raise Dead, 8E
Rampant Growth, 8E
Ravenous Rats, 8E
Razorfoot Griffin, 8E
Redeem, 8E
Reflexes, 8E
Regeneration, 8E
Relentless Assault, 8E
Remove Soul, 8E
Revive, 8E
Rewind, 8E
Rhox, 8E
Ridgeline Rager, 8E
Rod of Ruin, 8E
Rolling Stones, 8E
Royal Assassin, 8E
Rukh Egg, 8E
Rushwood Dryad, 8E
Sabretooth Tiger, 8E
Sacred Ground, 8E
Sacred Nectar, 8E
Sage of LatNam, 8E
Sage Owl, 8E
Salt Marsh, 8E
Samite Healer, 8E
Sanctimony, 8E
Savannah Lions, 8E
Scathe Zombies, 8E
Sea Monster, 8E
Searing Wind, 8E
Seasoned Marshal, 8E
Seismic Assault, 8E
Serpent Warrior, 8E
Serra Angel, 8E
Sever Soul, 8E
Severed Legion, 8E
Shatter, 8E
Shifting Sky, 8E
Shivan Dragon, 8E
Shivan Oasis, 8E
Shock, 8E
Shock Troops, 8E
Sizzle, 8E
Skull of Orm, 8E
Slay, 8E
Sneaky Homunculus, 8E
Solidarity, 8E
Soul Feast, 8E
Spellbook, 8E
Spiketail Hatchling, 8E
Spined Wurm, 8E
Spineless Thug, 8E
Spirit Link, 8E
Spitting Spider, 8E
Spreading Algae, 8E
Standing Troops, 8E
Star Compass, 8E
Staunch Defenders, 8E
Steal Artifact, 8E
Stone Rain, 8E
Storm Crow, 8E
Story Circle, 8E
Stream of Life, 8E
Sudden Impact, 8E
Suntail Hawk, 8E
Sunweb, 8E
Swamp, 8E
Swarm of Rats, 8E
Sword Dancer, 8E
Teferis Puzzle Box, 8E
Telepathy, 8E
Temporal Adept, 8E
Thieves Auction, 8E
Thieving Magpie, 8E
Thorn Elemental, 8E
Throne of Bone, 8E
Tidal Kraken, 8E
Trade Routes, 8E
Trained Armodon, 8E
Treasure Trove, 8E
Tremor, 8E
Tundra Wolves, 8E
Twiddle, 8E
TwoHeaded Dragon, 8E
Underworld Dreams, 8E
Unholy Strength, 8E
Unsummon, 8E
Urborg Volcano, 8E
Urzas Armor, 8E
Urzas Mine, 8E
Urzas Power Plant, 8E
Urzas Tower, 8E
Vampiric Spirit, 8E
Venerable Monk, 8E
Verduran Enchantress, 8E
Vernal Bloom, 8E
Vexing Arcanix, 8E
Viashino Sandstalker, 8E
Vicious Hunger, 8E
Vine Trellis, 8E
Volcanic Hammer, 8E
Wall of Air, 8E
Wall of Spears, 8E
Wall of Stone, 8E
Wall of Swords, 8E
Warped Devotion, 8E
Western Paladin, 8E
Wind Drake, 8E
Wing Snare, 8E
Wood Elves, 8E
Wooden Sphere, 8E
Worship, 8E
Wrath of God, 8E
Wrath of Marit Lage, 8E
Yavimaya Enchantress, 8E
Zombify, 8E
Zurs Weirding, 8E
Aerie Ouphes, EVE
Altar Golem, EVE
Antler Skulkin, EVE
Archon of Justice, EVE
Ashling the Extinguisher, EVE
Balefire Liege, EVE
Ballynock Trapper, EVE
Banishing Knack, EVE
Battlegate Mimic, EVE
Batwing Brume, EVE
Beckon Apparition, EVE
Belligerent Hatchling, EVE
Bloodied Ghost, EVE
Bloom Tender, EVE
Cache Raiders, EVE
Call the Skybreaker, EVE
Canker Abomination, EVE
Cankerous Thirst, EVE
Cascade Bluffs, EVE
Cauldron Haze, EVE
Cenns Enlistment, EVE
Chaotic Backlash, EVE
Cinder Pyromancer, EVE
Clout of the Dominus, EVE
ColdEyed Selkie, EVE
Crackleburr, EVE
Crag Puca, EVE
Creakwood Ghoul, EVE
Creakwood Liege, EVE
Crumbling Ashes, EVE
Deathbringer Liege, EVE
Deity of Scars, EVE
Desecrator Hag, EVE
Divinity of Pride, EVE
Dominus of Fealty, EVE
Doomgape, EVE
Double Cleave, EVE
Drain the Well, EVE
Dream Fracture, EVE
Dream Thief, EVE
Duergar Assailant, EVE
Duergar CaveGuard, EVE
Duergar HedgeMage, EVE
Duergar MineCaptain, EVE
Duskdale Wurm, EVE
Edge of the Divinity, EVE
Endless Horizons, EVE
Endure, EVE
Evershrike, EVE
Fable of Wolf and Owl, EVE
Fang Skulkin, EVE
Favor of the Overbeing, EVE
Fetid Heath, EVE
Fiery Bombardment, EVE
Figure of Destiny, EVE
Fire at Will, EVE
Flame Jab, EVE
Flickerwisp, EVE
Flooded Grove, EVE
Gift of the Deity, EVE
Gilder Bairn, EVE
Glamerdye, EVE
Glen Elendra Archmage, EVE
Grazing Kelpie, EVE
Groundling Pouncer, EVE
Gwyllion HedgeMage, EVE
Hag HedgeMage, EVE
Hallowed Burial, EVE
Harvest Gwyllion, EVE
Hatchet Bully, EVE
Hateflayer, EVE
Hearthfire Hobgoblin, EVE
Heartlash Cinder, EVE
Helix Pinnacle, EVE
Hobgoblin Dragoon, EVE
Hoof Skulkin, EVE
Hotheaded Giant, EVE
Idle Thoughts, EVE
Impelled Giant, EVE
Indigo Faerie, EVE
Inside Out, EVE
Inundate, EVE
Invert the Skies, EVE
Jawbone Skulkin, EVE
Kithkin Spellduster, EVE
Kithkin Zealot, EVE
Leering Emblem, EVE
Light from Within, EVE
Lingering Tormentor, EVE
Loyal Gyrfalcon, EVE
Marshdrinker Giant, EVE
Merrow Bonegnawer, EVE
Merrow Levitator, EVE
Mindwrack Liege, EVE
Mirror Sheen, EVE
Monstrify, EVE
Moonhold, EVE
Murkfiend Liege, EVE
Necroskitter, EVE
Needle Specter, EVE
Nettle Sentinel, EVE
Nightmare Incursion, EVE
Nightsky Mimic, EVE
Nip Gwyllion, EVE
Nobilis of War, EVE
Noggle Bandit, EVE
Noggle Bridgebreaker, EVE
Noggle HedgeMage, EVE
Noggle Ransacker, EVE
Noxious Hatchling, EVE
Nucklavee, EVE
Odious Trow, EVE
Oonas Grace, EVE
Outrage Shaman, EVE
Overbeing of Myth, EVE
Patrol Signaler, EVE
Phosphorescent Feast, EVE
Primalcrux, EVE
Puncture Blast, EVE
Pyrrhic Revival, EVE
Quillspike, EVE
Ravens Crime, EVE
Razorfin Abolisher, EVE
Recumbent Bliss, EVE
Regal Force, EVE
Rekindled Flame, EVE
Rendclaw Trow, EVE
Restless Apparition, EVE
Rise of the Hobgoblins, EVE
Riverfall Mimic, EVE
Rugged Prairie, EVE
Sanity Grinding, EVE
Sapling of Colfenor, EVE
Savage Conception, EVE
Scarecrone, EVE
Scourge of the Nobilis, EVE
Selkie HedgeMage, EVE
Shell Skulkin, EVE
Shorecrasher Mimic, EVE
Shrewd Hatchling, EVE
Slippery Bogle, EVE
Smoldering Butcher, EVE
Snakeform, EVE
Soot Imp, EVE
Soul Reap, EVE
Soul Snuffers, EVE
Spirit of the Hearth, EVE
Spitemare, EVE
Spitting Image, EVE
Springjack Pasture, EVE
Springjack Shepherd, EVE
Stalker Hag, EVE
Stigma Lasher, EVE
Stillmoon Cavalier, EVE
Stream Hopper, EVE
Sturdy Hatchling, EVE
Suture Spirit, EVE
Swirling Spriggan, EVE
Syphon Life, EVE
Talaras Bane, EVE
Talaras Battalion, EVE
Talonrend, EVE
Thunderblust, EVE
Tilling Treefolk, EVE
Trapjaw Kelpie, EVE
Twilight Mire, EVE
Twinblade Slasher, EVE
Umbra Stalker, EVE
Unmake, EVE
Unnerving Assault, EVE
Unwilling Recruit, EVE
Voracious Hatchling, EVE
Wake Thrasher, EVE
Ward of Bones, EVE
Waves of Aggression, EVE
Wickerbough Elder, EVE
Wilderness Hypnotist, EVE
Wistful Selkie, EVE
Woodlurker Mimic, EVE
Worm Harvest, EVE
ther Tide, EX
Allay, EX
Anarchist, EX
Angelic Blessing, EX
Avenging Druid, EX
Bequeathal, EX
Carnophage, EX
Cartographer, EX
Cat Burglar, EX
Cataclysm, EX
Charging Paladin, EX
Cinder Crawler, EX
City of Traitors, EX
Coat of Arms, EX
Convalescence, EX
Crashing Boars, EX
Culling the Weak, EX
Cunning, EX
Curiosity, EX
Cursed Flesh, EX
Dauthi Cutthroat, EX
Dauthi Jackal, EX
Dauthi Warlord, EX
